arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
11,4,,90,940000,https://www.orpi.com/annonce-vente-appartement-t4-paris-11-75011-b-e1kci2/,10444.444444444445
20,1,,24,302000,https://www.orpi.com/annonce-vente-appartement-t1-paris-20-75020-b-e1kc6a/,12583.333333333334
18,4,,90,880000,https://www.orpi.com/annonce-vente-appartement-t4-paris-18-75018-b-e1kb3f/,9777.777777777777
10,2,,48,525000,https://www.orpi.com/annonce-vente-appartement-t2-paris-10-75010-b-e1ka87/,10937.5
13,4,,80,749000,https://www.orpi.com/annonce-vente-appartement-t4-paris-13-75013-b-e1jb2t/,9362.5
15,1,,16,195000,https://www.orpi.com/annonce-vente-appartement-t1-paris-15-75015-b-e1jprn/,12187.5
19,2,,47,484575,https://www.orpi.com/annonce-vente-appartement-t2-paris-19-75019-b-e1jz8i/,10310.106382978724
11,2,,50,535500,https://www.orpi.com/annonce-vente-appartement-t2-paris-11-75011-b-e1k01y/,10710.0
15,2,,46,548000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1k8a9/,11913.04347826087
19,4,,88,800000,https://www.orpi.com/annonce-vente-appartement-t4-paris-19-75019-b-e1k9tb/,9090.90909090909
12,3,,56,620000,https://www.orpi.com/annonce-vente-appartement-t3-paris-12-75012-b-e1k2ju/,11071.42857142857
14,5,,117,988000,https://www.orpi.com/annonce-vente-appartement-t5-paris-14-75014-b-e1jwra/,8444.444444444445
20,1,,16,187153,https://www.orpi.com/annonce-vente-appartement-t1-paris-20-75020-b-e1jwip/,11697.0625
20,1,,13,163500,https://www.orpi.com/annonce-vente-appartement-t1-paris-20-75020-b-e1k1im/,12576.923076923076
2,1,,13,159000,https://www.orpi.com/annonce-vente-appartement-t1-paris-2-75002-b-e1jo1f/,12230.76923076923
15,2,,42,425000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e0qls7/,10119.047619047618
13,2,,51,535000,https://www.orpi.com/annonce-vente-appartement-t2-paris-13-75013-b-e1jw35/,10490.196078431372
3,1,,33,445000,https://www.orpi.com/annonce-vente-appartement-t1-paris-3-75003-b-e1jv3p/,13484.848484848484
11,2,,52,696800,https://www.orpi.com/annonce-vente-appartement-t2-paris-11-75011-b-e1fhre/,13400.0
13,4,,104,680000,https://www.orpi.com/annonce-vente-appartement-t4-paris-13-75013-b-e1jrwj/,6538.461538461538
16,1,,28,349000,https://www.orpi.com/annonce-vente-appartement-t1-paris-16-75016-b-e1jhq2/,12464.285714285714
18,1,,27,365000,https://www.orpi.com/annonce-vente-appartement-t1-paris-18-75018-b-e1jqja/,13518.518518518518
10,4,,82,1000000,https://www.orpi.com/annonce-vente-appartement-t4-paris-10-75010-b-e1joq5/,12195.121951219513
20,4,,55,549000,https://www.orpi.com/annonce-vente-appartement-t4-paris-20-75020-b-e1jorg/,9981.818181818182
11,1,,24,400000,https://www.orpi.com/annonce-vente-appartement-t1-paris-11-75011-b-e1jlzp/,16666.666666666668
13,1,,16,191860,https://www.orpi.com/annonce-vente-appartement-t1-paris-13-75013-b-e1j2qo/,11991.25
9,1,,7,85500,https://www.orpi.com/annonce-vente-appartement-t1-paris-9-75009-b-e1jmvs/,12214.285714285714
4,3,,61,892500,https://www.orpi.com/annonce-vente-appartement-t3-paris-4-75004-b-e1h6gl/,14631.147540983606
3,4,,96,1596500,https://www.orpi.com/annonce-vente-appartement-t4-paris-3-75004-b-e1jiac/,16630.208333333332
18,1,,24,300000,https://www.orpi.com/annonce-vente-appartement-t1-paris-18-75018-b-e1jico/,12500.0
15,3,,45,488000,https://www.orpi.com/annonce-vente-appartement-t3-paris-15-75015-b-e1jibz/,10844.444444444445
16,4,,100,1195000,https://www.orpi.com/annonce-vente-appartement-t4-paris-16-75016-b-e1ivq5/,11950.0
10,2,,37,495000,https://www.orpi.com/annonce-vente-appartement-t2-paris-10-75010-b-e1jeyj/,13378.378378378378
20,2,,28,283500,https://www.orpi.com/annonce-vente-appartement-t2-paris-20-75020-b-e1jfk2/,10125.0
3,1,,17,188000,https://www.orpi.com/annonce-vente-appartement-t1-paris-3-75003-b-e1jfo1/,11058.823529411764
15,2,,57,595000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1jca7/,10438.59649122807
18,2,,46,443000,https://www.orpi.com/annonce-vente-appartement-t2-paris-18-75018-b-e1jc73/,9630.434782608696
15,2,,39,535000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1j3lm/,13717.948717948719
19,3,,58,514500,https://www.orpi.com/annonce-vente-appartement-t3-paris-19-75019-b-e1j2gq/,8870.689655172413
20,3,,41,399000,https://www.orpi.com/annonce-vente-appartement-t3-paris-20-75020-b-e1i9yu/,9731.707317073171
10,2,,48,499000,https://www.orpi.com/annonce-vente-appartement-t2-paris-10-75010-b-e1j749/,10395.833333333334
5,7,,180,4500000,https://www.orpi.com/annonce-vente-maison-t7-paris-5-75005-b-e1j15u/,25000.0
19,4,,104,1065000,https://www.orpi.com/annonce-vente-appartement-t4-paris-19-75019-b-e1j2hw/,10240.384615384615
20,2,,44,428000,https://www.orpi.com/annonce-vente-appartement-t2-paris-20-75020-b-e1j1tl/,9727.272727272728
12,3,,83,899000,https://www.orpi.com/annonce-vente-appartement-t3-paris-12-75012-b-e1iyix/,10831.325301204819
20,5,,77,970000,https://www.orpi.com/annonce-vente-appartement-t5-paris-20-75020-b-e1i1hr/,12597.402597402597
13,2,,60,695000,https://www.orpi.com/annonce-vente-appartement-t2-paris-13-75013-b-e1irms/,11583.333333333334
19,2,,40,378000,https://www.orpi.com/annonce-vente-appartement-t2-paris-19-75019-b-e0ttiz/,9450.0
10,3,,62,670000,https://www.orpi.com/annonce-vente-appartement-t3-paris-10-75010-b-e1iqyx/,10806.451612903225
10,1,,15,216000,https://www.orpi.com/annonce-vente-appartement-t1-paris-10-75010-b-e1im63/,14400.0
19,2,,46,405000,https://www.orpi.com/annonce-vente-appartement-t2-paris-19-75019-b-e1ih6u/,8804.347826086956
18,3,,67,955000,https://www.orpi.com/annonce-vente-appartement-t3-paris-18-75018-b-e1i41o/,14253.731343283582
18,1,,4,11000,https://www.orpi.com/annonce-vente-appartement-t1-paris-18-75018-b-e1i5ut/,2750.0
19,1,,33,330000,https://www.orpi.com/annonce-vente-appartement-t1-paris-19-75019-b-e1i98z/,10000.0
11,1,,18,209000,https://www.orpi.com/annonce-vente-appartement-t1-paris-11-75011-b-e1ifd4/,11611.111111111111
15,3,,80,899000,https://www.orpi.com/annonce-vente-appartement-t3-paris-15-75015-b-e16qtr/,11237.5
9,1,,6,58000,https://www.orpi.com/annonce-vente-appartement-t1-paris-9-75009-b-e1hyuy/,9666.666666666666
19,5,,98,849500,https://www.orpi.com/annonce-vente-appartement-t5-paris-19-75019-b-e1i1qc/,8668.367346938776
11,1,,4,49320,https://www.orpi.com/annonce-vente-appartement-t1-paris-11-75011-b-e1hn1z/,12330.0
7,1,,17,305000,https://www.orpi.com/annonce-vente-appartement-t1-paris-7-75007-b-e1hbka/,17941.176470588234
10,2,,36,340000,https://www.orpi.com/annonce-vente-appartement-t2-paris-10-75010-b-e1hm65/,9444.444444444445
10,1,,9,140000,https://www.orpi.com/annonce-vente-appartement-t1-paris-10-75010-b-e1hjw6/,15555.555555555555
18,1,,14,154000,https://www.orpi.com/annonce-vente-appartement-t1-paris-18-75018-b-e1hdq1/,11000.0
3,1,,13,125000,https://www.orpi.com/annonce-vente-appartement-t1-paris-3-75010-b-e1h8zc/,9615.384615384615
3,1,,13,125000,https://www.orpi.com/annonce-vente-appartement-t1-paris-3-75003-b-e1h4qd/,9615.384615384615
17,1,,7,85000,https://www.orpi.com/annonce-vente-appartement-t1-paris-17-75017-b-e1h2zw/,12142.857142857143
5,3,,68,870000,https://www.orpi.com/annonce-vente-appartement-t3-paris-5-75005-b-e1gp97/,12794.117647058823
6,3,,58,1238000,https://www.orpi.com/annonce-vente-appartement-t3-paris-6-75006-b-e1dlo2/,21344.827586206895
13,5,,139,949000,https://www.orpi.com/annonce-vente-appartement-t5-paris-13-75013-b-e1fykd/,6827.338129496403
20,7,,185,1648000,https://www.orpi.com/annonce-vente-appartement-t7-paris-20-75020-b-e0z3mh/,8908.108108108108
9,1,,7,108000,https://www.orpi.com/annonce-vente-appartement-t1-paris-9-75009-b-e1fpvh/,15428.57142857143
16,2,,75,895000,https://www.orpi.com/annonce-vente-appartement-t2-paris-16-75016-b-e1fsf6/,11933.333333333334
19,2,,49,539000,https://www.orpi.com/annonce-vente-appartement-t2-paris-19-75019-b-e1fna1/,11000.0
15,5,,105,940000,https://www.orpi.com/annonce-vente-appartement-t5-paris-15-75015-b-e1fi5t/,8952.380952380952
