arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
3,2,1,46,675000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432601065,14673.91304347826
3,4,2,65,780000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432600764,12000.0
3,2,1,33,440000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432600295,13333.333333333334
3,1,0,24,325000,https://www.pap.fr/annonces/appartement-paris-3e-r427901003,13541.666666666666
3,1,1,34,400000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432501941,11764.70588235294
3,3,2,70,859000,https://www.pap.fr/annonces/appartement-paris-3e-r427100606,12271.42857142857
3,2,1,41,550000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432501341,13414.634146341463
3,6,4,132,1896000,https://www.pap.fr/annonces/appartement-paris-3e-r432500264,14363.636363636364
3,2,1,45,700000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432300966,15555.555555555555
3,2,1,40,635000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432001030,15875.0
3,3,2,102,1379000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432000018,13519.607843137255
3,3,2,86,1260000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r431900101,14651.162790697674
3,2,1,23,402000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r431201741,17478.260869565216
3,2,1,60,730000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r430601801,12166.666666666666
5,2,1,29,488000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r430000699,16827.58620689655
5,1,0,25,420000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r431000823,16800.0
5,3,2,69,920000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r432300352,13333.333333333334
5,2,1,43,610000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r432300360,14186.046511627907
5,1,0,26,398000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r432300390,15307.692307692309
5,5,2,118,1300000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r432400734,11016.949152542373
5,2,1,46,635000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r432601093,13804.347826086956
5,2,1,34,580000,https://www.pap.fr/annonces/appartement-paris-5e-r419800278,17058.823529411766
5,2,1,53,710000,https://www.pap.fr/annonces/appartement-paris-5e-75005-r432201313,13396.22641509434
